Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1998:Q1,Next40,14236717,5701490,4520450,1181041,8535227,1330458,182000,212336,144558,67778,46825,25034,21791,1258101,344712,270415,1118486,2858672,751194,162028,2356830,2347374,1796708,466066,15687,68913,9456,11879887,40778228,
1998:Q1,Bottom50,3034778,2048255,1417745,630510,986523,196520,8604,18808,15032,3776,3139,811,2328,128009,79140,14346,185642,192338,88534,71443,1872701,1870467,1089225,714640,6675,59927,2234,1162077,50978956,
1998:Q2,TopPt1,4253738,438449,270358,168091,3815289,172447,90040,542729,326670,216059,252850,247247,5603,1716152,21315,1747,44991,28547,936365,8104,69404,68977,25050,3683,3454,36791,427,4184334,106741,
1998:Q2,RemainingTop1,5996890,974028,787144,186885,5022861,322656,192664,444915,310980,133935,144818,120147,24671,2131903,55325,37307,317678,264114,1089703,21778,219328,217653,160199,13172,1799,42484,1675,5777562,914965,
1998:Q2,Next9,13609042,3195930,2615095,580835,10413112,942259,324717,471856,307657,164198,152282,119053,33230,2757117,194817,394131,745592,2929031,1421491,79819,1009444,1004093,755861,135179,4789,108264,5351,12599598,9203735,
1998:Q2,Next40,14512385,5835605,4637226,1198379,8676780,1337439,190072,234987,149121,85866,49283,27499,21784,1297991,351573,275553,1137041,2873435,767212,162195,2413726,2404158,1837120,482047,14477,70514,9568,12098659,40898920,
1998:Q2,Bottom50,3058715,2061741,1428223,633518,996974,197792,8428,19250,14589,4661,2848,593,2255,131729,79488,14428,185648,195121,91195,71047,1901841,1899612,1101472,733664,6011,58464,2229,1156873,51127788,
1998:Q3,TopPt1,4031630,428279,283414,144865,3603351,169659,104435,568559,360293,208266,241288,237042,4246,1471376,19352,2232,43199,31167,943935,8150,73288,72947,26062,3998,3912,38975,341,3958342,107216,14862081
1998:Q3,RemainingTop1,5808959,985228,793672,191556,4823731,320129,206980,468886,340768,128118,149190,124239,24952,1884494,51944,38155,305666,286212,1090190,21886,222801,221410,162924,13539,1842,43105,1390,5586158,917629,3745507
1998:Q3,Next9,13397731,3234417,2624833,609584,10163314,936753,349802,500695,334589,166106,186789,154647,32142,2437428,198304,382244,653410,2983222,1453666,81001,1041591,1036286,778717,141281,5415,110873,5305,12356139,9229022,731120
1998:Q3,Next40,14544424,5963365,4746546,1216820,8581059,1346847,205403,237529,158474,79055,58202,36381,21821,1220452,355990,271997,1061741,2878588,780474,163837,2465349,2455807,1877197,493400,16217,68993,9541,12079075,41019145,95836
1998:Q3,Bottom50,3137355,2154697,1520792,633906,982658,199458,9043,18604,14164,4440,2682,494,2188,121761,79282,14388,174515,197524,94095,71307,1921109,1918937,1111256,748499,6372,52809,2173,1216246,51275807,
1998:Q4,TopPt1,4349789,456949,298227,158723,3892840,186412,120369,531838,350119,181719,242454,237298,5156,1759714,22053,1533,46786,31288,942163,8230,70000,69764,25244,3917,4338,36266,236,4279789,107601,
1998:Q4,RemainingTop1,6270873,1042588,837783,204806,5228284,332638,223131,453331,342578,110754,157622,132544,25078,2197625,57238,39536,332359,302582,1109796,22425,232751,231787,169884,14236,2622,45044,964,6038122,920317,
1998:Q4,Next9,14245621,3355415,2759014,596401,10890206,974728,365861,488567,332362,156205,174963,141872,33090,2924146,204764,409466,788836,3026678,1450798,81400,1058411,1053495,792157,141166,6699,113473,4916,13187210,9253964,
