Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q4,Silent,19885271,5530771,4666800,863971,14354499,2121920,572648,805131,805131,0,152041,138259,13782,6443451,241268,43351,259745,1211860,2253488,249596,604360,600441,444549,111652,20579,23661,3919,19280910,12614777
2022:Q4,BabyBoom,74987258,20685674,17736805,2948869,54301584,6465497,1717223,2546891,2546891,0,795732,766936,28796,18658433,927388,949296,4343784,9218598,8024665,654077,4825651,4808851,3061108,1069154,137380,541209,16800,70161607,42115974
2022:Q4,GenX,41281302,14841348,12664332,2177016,26439954,3733134,524113,591237,591237,0,145299,128276,17023,6830613,597495,1110737,3520313,5104315,3915934,366763,6933337,6922140,4989598,1709906,123276,99361,11197,34347964,35176679
2022:Q4,Millennial,17924491,8537374,6887915,1649459,9387117,1938805,109033,272770,272770,0,49961,36249,13712,2256572,220937,249237,1002721,1299463,1731602,256016,6252935,6247890,4158838,1967727,78215,43110,5044,11671556,41705930
2023:Q1,Silent,20135486,5470481,4609995,860485,14665006,2058508,628937,893446,893446,0,147163,133556,13608,6741227,243511,38333,269258,1204419,2191214,248990,584668,580680,431618,107653,18490,22918,3989,19550818,12403522
2023:Q1,BabyBoom,76881599,20762468,17791460,2971007,56119131,6311598,1914290,2971641,2971641,0,777863,749043,28820,19731018,949569,1021628,4519077,9325527,7935699,661222,4653563,4636348,2918132,1052331,131320,534565,17215,72228036,41976874
2023:Q1,GenX,42204126,14945934,12744305,2201628,27258192,3639046,598693,663754,663754,0,145724,128625,17099,7330643,613112,1134625,3724779,5140573,3894755,372488,6886324,6874660,4962317,1700719,111502,100123,11664,35317801,35186993
2023:Q1,Millennial,18462265,8766010,7063784,1702226,9696255,1902916,120349,279166,279166,0,47989,33964,14025,2472630,221900,256829,1080227,1320102,1729180,264966,6510021,6504907,4399987,1991282,70914,42724,5114,11952244,42479267
2023:Q2,Silent,20549049,5583468,4729249,854219,14965581,2013876,658031,890022,890022,0,145562,132320,13243,7039736,243906,34231,278328,1197869,2216053,247968,574691,570761,423426,106599,17529,23207,3930,19974358,12180446
2023:Q2,BabyBoom,79420301,21715693,18732630,2983063,57704608,6223012,2027025,3000855,3000855,0,779070,750641,28429,20782178,962458,1076409,4679555,9430581,8077649,665815,4598150,4580994,2855092,1054158,128288,543457,17156,74822151,41690728
2023:Q2,GenX,43718513,15545816,13316725,2229091,28172697,3603524,645263,673030,673030,0,146655,129640,17016,7856140,625033,1154465,3932736,5178991,3978869,377990,6906880,6895181,4974421,1713143,107178,100439,11700,36811633,35184480
2023:Q2,Millennial,19839847,9696957,7935484,1761473,10142891,1902372,128019,285176,285176,0,48988,34893,14095,2696845,223238,263325,1157730,1333305,1830733,273160,6710938,6705726,4558803,2032773,68752,45398,5213,13128909,43119882
2023:Q3,Silent,20122048,5542805,4698607,844198,14579243,1974758,688902,896948,896948,0,136417,123324,13094,6729443,239280,23166,267935,1171952,2203227,247214,568987,565015,417835,105851,17020,24308,3973,19553060,11978334
